country,industry_share_2000,industry_share_2025,manufacturing_share_2000,manufacturing_share_2025,industry_cagr,manufacturing_cagr,gdp_cagr
Australia,0.23557569036990936,,0.09072380612568738,,,,
Belgium,0.21538537469381458,,0.14416948894141296,,,,
Brazil,0.22230474422322152,,0.13651656854267494,,,,
Canada,0.2725476925514197,,0.14911455476020263,,,,
China,0.36464030570164174,,,,,,
Denmark,0.2503025888179683,,0.1329967154338235,,,,
Finland,0.25594191990208764,,0.16722792322659352,,,,
France,0.19828074843677787,,0.1133655669280764,,,,
Germany,0.2716592546052423,,0.1868677998936561,,,,
Italy,0.2384221191993923,,0.15546134057512218,,,,
Japan,0.3113847283370012,,0.19606466101911196,,,,
Mexico,0.3402733211935235,,0.22121813124146314,,,,
Netherlands,0.19943783498422293,,0.10388672340118599,,,,
South Africa,0.2826280061968481,,0.14695194691269742,,,,
Turkey,0.2428172995174327,,0.1540834727310397,,,,
United Kingdom,0.22699082578919044,,0.09062305040275181,,,,
United States,,,,,,,
